Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,Collection Folder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
120-19-003,International Music System I.M.S.*,Dancing Therapy,"Emergency Records, Bellaphon","12""",,1984,234769,Uncategorized,,,,
EMN45,Hong Kong Counterfeit,Emotion,Emperor Norton,"12"", Red",,2003,183081,Uncategorized,,,,
endless flight 30,Kza,Le Troublant Acid,Endless Flight,"12""",5,2010,2584241,Uncategorized,2010-12-20 06:42:34,,,
ENV 008,Metro Area,Metro Area,Environ,"12""",5,1999,16259,Uncategorized,,,,
ENV 009,Daniel Wang,Silver Trophies,Environ,"12""",4,2000,2959,Uncategorized,,,,
ENV 010,Metro Area,Metro Area 2,Environ,"12""",5,2000,1030,Uncategorized,,,,
ENV 012,Morgan Geist,Super,Environ,"12""",5,2001,8912,Uncategorized,,,,
ENV 013,Daniel Wang,Nocturnes,Environ,"12""",5,2001,14908,Uncategorized,,,,
ENV 014,Metro Area,Metro Area 4,Environ,"12""",5,2001,14911,Uncategorized,,,,
ENV 015,Morgan Geist,Moves,Environ,"12""",4,2002,35588,Uncategorized,,,,
ENV 016,Kelley Polar Quartet,Audition EP,Environ,"12"", EP",,2002,61752,Uncategorized,,,,
ENV 018,Jersey Devil Social Club,Homage At 121 BPM,Environ,"12""",,2004,244477,Uncategorized,,,,
ENV 021,Jersey Devil Social Club,Magnifique,Environ,"12""",,2004,358374,Uncategorized,,,,
ENV017,Kelley Polar Quartet,Recital EP,Environ,"12"", EP",,2003,208531,Uncategorized,,,,
ENV034,Storm Queen,Look Right Through,Environ,"12"", Ltd",,2010,2511144,Uncategorized,2010-12-20 06:41:38,,,
ENVCD001,Daniel Wang,Idealism,Environ,"CD, Album",4,2001,28889,Uncategorized,,,,
ENVCD002,Metro Area,Metro Area,Environ,"CD, Album",,2002,61484,Uncategorized,,,,
ENVUN01,Dance Reaction,Unclassics #1 - Disco Train,Environ,"12""",,2003,153327,Uncategorized,,,,
ENVUN02,Margueritas / Pluton & Humanoids,Unclassics #2,Environ,"12""",,2003,157999,Uncategorized,,,,
ENVUN03,Purple Flash,Unclassics #3,Environ,"12""",4,2004,233816,Uncategorized,,,,
FE 35745,Michael Jackson,Off The Wall,Epic,"LP, Album, Gat",,1979,120096,Uncategorized,,,,
ESCA 7306,Hooverphonic,Blue Wonder Power Milk,Epic Records (Japan),CD,,1998,139310,Uncategorized,,,,
541416 501584,Radio Slave,Radio Slave Presents Creature Of The Night Part One,Eskimo Recordings,"12""",,2006,796259,Uncategorized,,,,
ESP.001,Sombrero Galaxy (2),Journey To The Centre Of The Sun,ESP Institute,"12""",5,2010,2158059,Uncategorized,2010-12-20 06:42:10,,,
"F 129 CD, 137.0129.20",Jori Hulkkonen,"When No One Is Watching, We Are Invisible...","F Communications, Play It Again Sam [PIAS]","CD, Album",4,2000,13396,Uncategorized,,,,
"F 132, 137.0132.30",Jori Hulkkonen,Wanna Do You,"F Communications, Play It Again Sam [PIAS]","12""",4,2001,31365,Uncategorized,,,,
"F 139, 137.0139.131",Jori Hulkkonen,Let Me Luv U,"F Communications, Play It Again Sam [PIAS]","12""",5,2001,31364,Uncategorized,,,,
FEP-300,Cybotron,Cosmic Raindance,Fantasy,"12""",5,1996,4878,Uncategorized,,,,
PS 08/100,Anthony Rother,Elixir Of Life,Fax +49-69/450464,"CD, Album, Mixed, Ltd",4,2003,132158,Uncategorized,,,,
Arp 005,Lindstrøm,Arp She Said,Feedelity,"12"", W/Lbl, Promo",,2005,460826,Uncategorized,,,,
feed 001,Lindstrøm and Christabelle,Music (In My Mind),Feedelity,"12""",,2003,237623,Uncategorized,,,,
finalfrontier002,Analog Fingerprints,Age Of Hypocrisy,Final Frontier,"12""",,2004,298990,Uncategorized,,,,
flexx002,Crazy Gang,Every Sunday,Flexx,"12""",,2006,711945,Uncategorized,,,,
"flexx 001, flexx001",Pineapples Feat Douglas Roop,Come On Closer,"Flexx, Flexx","12"", RE",,2005,509174,Uncategorized,,,,
FT46,Luomo,Diskonize Me,Force Tracks,"12""",4,2002,36426,Uncategorized,,,,
FT52,Data 80,Data 80,Force Tracks,"2x12"", Album",,2003,118640,Uncategorized,,,,
FRT17,Dr. Shingo,Have You Ever Seen The Blue Comet?,Forte Records,"12""",,2002,42082,Uncategorized,,,,
FST 003,Del Monte & Marco Piccolo,Unconscious / Digital 4Ever After,Freestyle Ltd.,"12""",,2003,174638,Uncategorized,,,,
FST 005,Pastrami Man,Pastrami Machine,Freestyle Ltd.,"12""",,2004,394000,Uncategorized,,,,
FREUNDINNEN 01,Isolee*,It's About,Freundinnen,"12""",,2002,138541,Uncategorized,,,,
"FR-004, Cx16",Cybonix,Make This Party Live,"Frustrated Funk, Clone","12""",,2004,307616,Uncategorized,,,,
FP04,Todd Terje,Eurodans,Full Pupp,"12""",,2005,551046,Uncategorized,,,,
FP06,Magnus International,Kosmetisk,Full Pupp,"12""",,2006,817268,Uncategorized,2010-11-15 12:56:06,,,
GI-14,Various,Disco Nouveau: Addendum,Ghostly International,"12""",,2002,65589,Uncategorized,,,,
GDC 0010-12,Pet Shop Boys / Advance / Miko Mission,Club Classics 10,Golden-Dance-Classics,"12"", Comp",,2001,209100,Uncategorized,,,,
"GDC 0007-12, CC 0007",Various,Club Classics 07,"Golden-Dance-Classics, Club Classics","12""",,2001,182070,Uncategorized,,,,
PM 120010,Sex Band,I Have Got The Answer (Yes I Do),Good Vibes,"12""",,1984,386229,Uncategorized,,,,
"GL12.5, 940.9125.030",Kiko,Italomatic,"GoodLife, Play It Again Sam [PIAS]","12""",,2003,130276,Uncategorized,,,,
GRP-T-4001,"Funkacise Gang, The*",Funkacise,GRP,"12""",4,1982,1638736,Uncategorized,2010-12-11 15:12:25,,,
HADJSCD 01,Soulwax,Hang All DJ's Volume 1,Head Traxx Inc.,"CD, Comp, Mixed, Unofficial",,2003,143742,Uncategorized,,,,
HADJSCD 02,Soulwax,Hang All DJ's Volume 2,Head Traxx Inc.,"CDr, Comp, Mixed, Unofficial",,2003,158378,Uncategorized,,,,
"HVNLP16CD, HVNLP 16CD",St. Etienne*,Casino Classics,"Heavenly, Heavenly","2xCD, Comp",5,1996,3313,Uncategorized,,,,
TONE001,Ladycréme,Motherload,Hyptone,"12""",5,2007,997963,Uncategorized,,,,
10jolly003,Jollymusic,E.P.3,Illustrious,"10"", EP, Lig",5,2002,35138,Uncategorized,,,,
634.002,"Creatures, The (2)",Expansion - L'Altro Mondo Studios,Injection Disco Dance Label,"LP, Album",,1982,198460,Uncategorized,,,,
IOR001,6th Borough Project,Part One,Instruments Of Rapture,"12"", Ltd",,2008,1547540,Uncategorized,2010-12-20 06:40:56,,,
IOR002,6th Borough Project,Part Two,Instruments Of Rapture,"12"", Ltd",,2009,1695262,Uncategorized,2010-12-20 06:40:11,,,
IT 10 CD,I-f,The Man From PACK,Interdimensional Transmissions,"CD, Album",,1999,90734,Uncategorized,,,,
IT 14,GD Luxxe*,21st Door Rmxd,Interdimensional Transmissions,"12""",,2001,45427,Uncategorized,,,,
Gigolo  02,Jeff Mills,Shifty Disco E.P.,International Deejay Gigolo Records,"12"", EP",4,1996,2095,Uncategorized,,,,
Gigolo  03,Rok / Jonzon,Club Berlin,International Deejay Gigolo Records,"12""",4,1996,5603,Uncategorized,,,,
Gigolo  24,Miss Kittin & The Hacker,Intimités EP,International Deejay Gigolo Records,"12"", EP",5,1999,8321,Uncategorized,,,,
GIGOLO  42,DJ Valium*,Art Of Misdirection,International Deejay Gigolo Records,2xLP,3,2000,31541,Uncategorized,,,,
